Date,LTP
2024-09-18,1415.0
2024-09-16,1418.0
2024-09-15,1479.9
2024-09-12,1588.1
2024-09-11,1546.0
2024-09-10,1537.0
2024-09-09,1565.0
2024-09-08,1436.0
2024-09-05,1400.2
2024-09-04,1415.0
2024-09-03,1484.0
2024-09-02,1499.0
2024-09-01,1390.0
2024-08-29,1426.0
2024-08-28,1430.0
2024-08-27,1451.2
2024-08-25,1501.1
2024-08-22,1547.0
2024-08-21,1593.0
2024-08-18,1542.0
2024-08-15,1593.2
2024-08-14,1650.0
2024-08-13,1657.0
2024-08-12,1564.0
2024-08-11,1578.0
2024-08-08,1570.0
2024-08-07,1645.0
2024-08-06,1602.9
2024-08-05,1781.0
2024-08-01,1620.0
2024-07-31,1640.0
2024-07-30,1579.6
2024-07-29,1436.9
2024-07-28,1354.1
2024-07-25,1231.0
2024-07-24,1260.0
2024-07-23,1186.9
2024-07-22,1079.0
2024-07-21,1076.0
2024-07-18,1080.0
2024-07-17,1067.0
2024-07-16,1024.6
2024-07-15,1013.0
2024-07-14,1030.0
2024-07-11,1020.0
2024-07-10,1023.5
2024-07-09,985.0
2024-07-08,949.0
2024-07-07,960.0
2024-07-04,927.0
2024-07-03,925.0
2024-07-02,933.0
2024-07-01,924.0
2024-06-30,918.1
2024-06-27,919.0
2024-06-26,927.0
2024-06-25,947.0
2024-06-24,888.0
2024-06-23,890.0
2024-06-20,903.0
2024-06-19,899.0
2024-06-18,900.0
2024-06-16,911.1
2024-06-13,935.0
2024-06-12,935.0
2024-06-11,930.5
2024-06-10,938.0
2024-06-09,947.0
2024-06-06,934.9
2024-06-05,915.0
2024-06-04,914.0
2024-06-03,891.0
2024-06-02,895.0
2024-05-30,890.0
2024-05-29,913.0
2024-05-27,908.0
2024-05-26,862.0
2024-05-22,876.0
2024-05-21,890.0
2024-05-20,859.0
2024-05-19,837.1
2024-05-16,832.0
2024-05-15,835.0
2024-05-14,853.1
2024-05-13,827.0
2024-05-12,816.1
2024-05-09,817.6
2024-05-08,814.1
2024-05-07,825.1
2024-05-06,835.1
2024-05-05,838.0
2024-05-02,858.0
2024-04-30,840.0
2024-04-29,825.0
2024-04-28,828.1
2024-04-25,830.0
2024-04-24,836.1
2024-04-22,842.0
2024-04-21,860.0
2024-04-18,836.1
2024-04-16,851.0
2024-04-15,855.0
2024-04-14,856.0
2024-04-10,863.0
2024-04-09,876.0
2024-04-07,885.1
2024-04-04,880.0
2024-04-03,890.0
2024-04-02,899.0
2024-04-01,890.0
2024-03-31,909.0
2024-03-28,884.0
2024-03-27,879.8
2024-03-26,884.9
2024-03-25,880.0
2024-03-21,860.0
2024-03-20,870.0
2024-03-19,875.0
2024-03-18,889.0
2024-03-17,897.0
2024-03-14,897.5
2024-03-13,908.0
2024-03-12,915.0
2024-03-10,937.0
2024-03-07,918.0
2024-03-06,869.0
2024-03-05,863.9
2024-03-04,892.0
2024-03-03,843.0
2024-02-29,843.5
2024-02-28,857.0
2024-02-27,830.0
2024-02-26,834.0
2024-02-25,814.0
2024-02-22,850.0
2024-02-21,875.0
2024-02-20,888.0
2024-02-18,904.0
2024-02-15,923.0
2024-02-14,942.0
2024-02-13,937.0
2024-02-12,974.9
2024-02-11,952.1
2024-02-08,980.0
2024-02-07,988.7
2024-02-06,989.0
2024-02-05,973.0
2024-02-04,929.0
2024-02-01,918.0
2024-01-31,950.4
2024-01-30,975.0
2024-01-29,993.0
2024-01-28,959.0
2024-01-25,882.0
2024-01-24,913.0
2024-01-23,949.0
2024-01-22,918.0
2024-01-21,950.0
2024-01-18,995.0
2024-01-17,1027.0
2024-01-16,1087.0
2024-01-14,1057.0
2024-01-11,1000.0
2024-01-10,1000.0
2024-01-09,1040.0
2024-01-08,1034.9
2024-01-07,955.0
2024-01-04,990.0
2024-01-03,975.0
2024-01-02,925.0
2024-01-01,876.0
2023-12-28,796.4
2023-12-27,796.5
2023-12-24,832.1
2023-12-21,923.0
2023-12-20,907.8
2023-12-19,825.3
2023-12-18,750.3
2023-12-17,682.1
2023-12-14,620.1
2023-12-13,626.0
2023-12-12,595.0
2023-12-11,544.0
2023-12-10,495.0
2023-12-07,461.0
2023-12-06,439.0
2023-12-05,428.0
2023-12-04,440.0
2023-12-03,442.0
2023-11-30,422.0
2023-11-29,427.1
2023-11-28,437.0
2023-11-27,421.8
2023-11-26,411.0
2023-11-23,418.0
2023-11-22,417.6
2023-11-21,394.0
2023-11-20,383.0
2023-11-09,357.0
2023-11-08,367.5
2023-11-07,377.0
2023-11-06,365.8
2023-11-05,332.6
2023-11-02,335.0
2023-11-01,322.0
2023-10-31,318.0
2023-10-30,307.4
2023-10-29,304.2
2023-10-19,314.0
2023-10-18,307.6
2023-10-17,284.0
2023-10-16,310.5
2023-10-12,345.0
2023-10-11,313.7
